"Wahlkreis";"Jahr";"Berechtigte";"Wähler";"Ungültige_1";"Ungültige_2";"Gültige_1";"Gültige_2"
219;2009;231017;170334;1469;1028;168865;169306
220;2009;211617;155666;1546;1000;154120;154666
221;2009;231682;173138;1561;1086;171577;172052
222;2009;233952;185115;1716;1110;183399;184005
223;2009;226483;161912;2087;1544;159825;160368
224;2009;251039;190092;2523;1494;187569;188598
225;2009;205115;142584;1966;1402;140618;141182
226;2009;249153;183832;2439;1704;181393;182128
227;2009;154767;94922;1524;1049;93398;93873
228;2009;246833;171065;2818;1584;168247;169481
229;2009;186068;118249;1536;1124;116713;117125
230;2009;162109;104487;2052;1227;102435;103260
231;2009;173068;112708;1621;1345;111087;111363
232;2009;214616;153659;3314;1680;150345;151979
233;2009;243083;171002;1933;1455;169069;169547
234;2009;216044;143939;2151;1957;141788;141982
235;2009;172011;124026;1859;2270;122167;121756
236;2009;177197;129049;1563;1170;127486;127879
237;2009;164344;117290;1654;974;115636;116316
238;2009;162834;115851;1784;1272;114067;114579
239;2009;180735;126096;2057;1735;124039;124361
240;2009;173473;128501;1198;1384;127303;127117
241;2009;243953;171989;2553;2119;169436;169870
242;2009;177261;135845;1335;1091;134510;134754
243;2009;249703;179941;2512;2030;177429;177911
244;2009;189738;135154;1572;1190;133582;133964
245;2009;184672;124786;1689;1371;123097;123415
246;2009;224946;171076;2256;1692;168820;169384
247;2009;183872;135005;2840;2297;132165;132708
248;2009;219607;162052;2659;1900;159393;160152
249;2009;199081;147482;3186;2289;144296;145193
250;2009;200116;146050;3121;1867;142929;144183
251;2009;225807;170031;2185;1569;167846;168462
252;2009;206196;135957;1789;1748;134168;134209
253;2009;240672;177024;2484;1754;174540;175270
254;2009;189097;133619;2191;1497;131428;132122
255;2009;235775;164678;2832;1790;161846;162888
256;2009;221708;158857;2008;1618;156849;157239
257;2009;242341;170224;2992;2194;167232;168030
258;2009;184454;142504;1527;1120;140977;141384
259;2009;181088;129259;1789;1539;127470;127720
260;2009;244919;185176;2730;2507;182446;182669
261;2009;165210;125558;1711;1450;123847;124108
262;2009;204091;154949;2431;1978;152518;152971
263;2009;180442;129901;2288;2045;127613;127856
264;2009;220220;164521;2560;2140;161961;162381
265;2009;206805;156053;2440;1882;153613;154171
266;2009;224090;170674;2745;2300;167929;168374
267;2009;241035;168927;3239;2698;165688;166229
268;2009;223234;154351;3030;2561;151321;151790
269;2009;176381;126601;2504;2189;124097;124412
270;2009;224418;159936;3218;2871;156718;157065
271;2009;201833;143521;2030;1855;141491;141666
272;2009;208654;155522;2991;2339;152531;153183
273;2009;208664;146160;3219;2667;142941;143493
274;2009;211807;162920;2338;1932;160582;160988
275;2009;198437;134143;2149;1785;131994;132358
276;2009;215910;153296;3375;3040;149921;150256
277;2009;195971;144215;2928;2277;141287;141938
278;2009;194304;141401;3452;2611;137949;138790
279;2009;220877;155907;3120;2805;152787;153102
280;2009;198923;142812;2877;2537;139935;140275
281;2009;210636;157681;2537;1998;155144;155683
282;2009;225703;156692;2864;2577;153828;154115
283;2009;213013;149482;3557;3458;145925;146024
284;2009;204619;141835;3305;3164;138530;138671
285;2009;200726;141391;3816;3024;137575;138367
286;2009;167458;117355;2983;2618;114372;114737
287;2009;197671;140167;2793;2480;137374;137687
288;2009;177784;125418;2689;2066;122729;123352
289;2009;198466;145837;3394;2562;142443;143275
290;2009;189559;143896;2199;1855;141697;142041
291;2009;218867;161673;3268;2566;158405;159107
292;2009;162508;117289;3263;2303;114026;114986
293;2009;167789;122655;2181;1767;120474;120888
294;2009;181362;130128;3110;1966;127018;128162
295;2009;185890;130436;3243;2621;127193;127815
296;2009;207292;146713;2699;2133;144014;144580
297;2009;214924;159639;4022;3446;155617;156193
298;2009;184896;142795;3814;3079;138981;139716
299;2009;201442;147047;3131;2669;143916;144378
1;2005;220967;171827;2674;2596;169153;169231
2;2005;184580;143778;2280;2058;141498;141720
3;2005;177200;139014;2098;2108;136916;136906
4;2005;197355;158841;2187;2062;156654;156779
5;2005;194234;151040;2250;2048;148790;148992
6;2005;174075;136982;2560;2100;134422;134882
7;2005;227185;185609;2646;2287;182963;183322
8;2005;233522;188632;2179;2107;186453;186525
9;2005;177834;140965;1930;1842;139035;139123
10;2005;232711;190357;3409;2458;186948;187899
11;2005;179114;132068;2286;2338;129782;129730
12;2005;219787;156558;2989;2769;153569;153789
13;2005;185092;134742;2596;2332;132146;132410
14;2005;193869;139568;2562;1978;137006;137590
15;2005;203689;141356;3056;3159;138300;138197
16;2005;208610;145628;3111;2979;142517;142649
17;2005;215271;154726;3268;2954;151458;151772
18;2005;192472;138309;3124;2997;135185;135312
19;2005;245210;179752;2588;2386;177164;177366
20;2005;170950;136372;1552;1335;134820;135037
21;2005;181988;147354;1725;1337;145629;146017
22;2005;203063;168352;1581;1359;166771;166993
23;2005;214063;163239;2053;1896;161186;161343
24;2005;215443;159084;2428;2476;156656;156608
25;2005;187031;144499;2689;2273;141810;142226
26;2005;227506;177726;2413;2295;175313;175431
27;2005;190965;146571;2938;2589;143633;143982
28;2005;210068;166206;2219;1841;163987;164365
29;2005;224736;175320;2882;2912;172438;172408
30;2005;189974;148796;2087;1885;146709;146911
31;2005;188816;150641;2048;1554;148593;149087
32;2005;222778;179716;1981;1926;177735;177790
33;2005;206345;160307;2376;1978;157931;158329
34;2005;192368;152034;1664;1456;150370;150578
35;2005;190409;152524;1813;1582;150711;150942
36;2005;168165;132230;1836;1584;130394;130646
37;2005;185646;154160;1924;1555;152236;152605
38;2005;175383;138955;1936;1657;137019;137298
39;2005;194638;154657;1896;1673;152761;152984
40;2005;191774;153955;1865;1648;152090;152307
41;2005;199276;157540;2024;1836;155516;155704
42;2005;179372;140366;1855;1548;138511;138818
43;2005;188507;147965;2006;1652;145959;146313
44;2005;231063;187725;2382;2034;185343;185691
45;2005;217953;172223;2006;1918;170217;170305
46;2005;216115;174673;2478;2211;172195;172462
47;2005;201339;158761;2623;2353;156138;156408
48;2005;238612;195863;2637;2325;193226;193538
49;2005;223707;182239;2978;2594;179261;179645
50;2005;217909;173204;2918;2856;170286;170348
51;2005;187823;147350;2168;1953;145182;145397
52;2005;188485;148023;2809;2591;145214;145432
53;2005;219886;173976;2979;2757;170997;171219
54;2005;226392;180697;2425;2218;178272;178479
55;2005;252856;196547;2799;2466;193748;194081
56;2005;233619;170735;3033;2895;167702;167840
57;2005;176284;126283;2336;2264;123947;124019
58;2005;174854;124502;2425;2073;122077;122429
59;2005;240691;184656;3439;3041;181217;181615
60;2005;248485;189602;3383;3261;186219;186341
61;2005;203338;147006;3139;2939;143867;144067
62;2005;227461;180704;2633;2402;178071;178302
63;2005;241291;184664;3892;3374;180772;181290
64;2005;212095;159026;2957;2767;156069;156259
65;2005;203223;149081;2653;2331;146428;146750
66;2005;200630;149459;3156;2917;146303;146542
67;2005;188647;135206;2810;2494;132396;132712
68;2005;246402;174931;4368;3901;170563;171030
69;2005;245549;174563;4369;3582;170194;170981
70;2005;253665;179260;4017;3700;175243;175560
71;2005;204383;148711;2830;2705;145881;146006
72;2005;259087;179616;4271;3942;175345;175674
73;2005;226697;162607;3253;3103;159354;159504
74;2005;221879;155763;3852;3811;151911;151952
75;2005;241799;171014;4195;3854;166819;167160
76;2005;192321;142190;2829;2405;139361;139785
77;2005;224621;174821;2700;2379;172121;172442
78;2005;185854;147047;3294;2673;143753;144374
79;2005;184180;140504;3480;3063;137024;137441
80;2005;215568;180247;3081;2361;177166;177886
81;2005;196910;158865;2771;2105;156094;156760
82;2005;234161;185593;3680;3222;181913;182371
83;2005;194781;144224;3625;3157;140599;141067
84;2005;215324;164838;3034;2676;161804;162162
85;2005;193339;152302;2498;2294;149804;150008
86;2005;200926;147668;2604;2268;145064;145400
87;2005;200917;149098;2533;2158;146565;146940
88;2005;174998;137879;1996;1656;135883;136223
89;2005;227154;176643;3509;2894;173134;173749
90;2005;185273;143248;3424;2738;139824;140510
91;2005;198643;154115;2707;2385;151408;151730
92;2005;240830;191575;3083;2516;188492;189059
93;2005;243187;190431;3442;2984;186989;187447
94;2005;184010;137164;708;480;136456;136684
95;2005;215119;173952;965;491;172987;173461
96;2005;192045;142475;750;545;141725;141930
97;2005;212584;172806;2385;2040;170421;170766
98;2005;226476;179685;1993;1722;177692;177963
99;2005;209093;171115;1674;1361;169441;169754
100;2005;212632;165042;2590;2544;162452;162498
101;2005;213615;177035;1861;1800;175174;175235
102;2005;213112;161257;1704;1471;159553;159786
103;2005;220640;166375;2526;2299;163849;164076
104;2005;232219;179124;2601;2331;176523;176793
105;2005;205589;165177;2105;1686;163072;163491
106;2005;170221;135236;1476;1220;133760;134016
107;2005;215651;170004;1771;1519;168233;168485
108;2005;193401;146767;1881;1652;144886;145115
109;2005;212741;164493;1570;1476;162923;163017
110;2005;195069;141494;2170;1995;139324;139499
111;2005;202982;161147;2218;2108;158929;159039
112;2005;225763;177272;2478;2268;174794;175004
113;2005;223341;173899;2934;2448;170965;171451
114;2005;204858;164457;1975;1891;162482;162566
115;2005;182775;142804;2077;1946;140727;140858
116;2005;188411;145909;2108;2256;143801;143653
117;2005;163423;116258;2088;2324;114170;113934
118;2005;213983;166618;2328;2344;164290;164274
119;2005;197688;157290;1827;1816;155463;155474
120;2005;174161;126509;2075;1783;124434;124726
121;2005;200447;163555;1923;1634;161632;161921
122;2005;176449;136212;1992;1643;134220;134569
123;2005;196107;154197;1539;1268;152658;152929
124;2005;193519;142477;2298;1967;140179;140510
125;2005;196748;155261;1739;1712;153522;153549
126;2005;209649;166096;2102;2146;163994;163950
127;2005;191988;157139;1535;1557;155604;155582
128;2005;185527;154087;1674;1480;152413;152607
129;2005;189035;153522;1884;1906;151638;151616
130;2005;204797;169999;1808;1490;168191;168509
131;2005;209515;169657;2227;2479;167430;167178
132;2005;228920;181941;2735;2332;179206;179609
133;2005;247826;198212;2868;2842;195344;195370
134;2005;233966;183164;2473;2353;180691;180811
135;2005;209727;163935;2583;2827;161352;161108
136;2005;175671;141032;2156;2094;138876;138938
137;2005;218164;173748;3197;3048;170551;170700
138;2005;237651;187143;2789;3002;184354;184141
139;2005;222204;170222;2524;2218;167698;168004
140;2005;185393;148698;1910;1815;146788;146883
141;2005;217794;172973;2315;2227;170658;170746
142;2005;192599;147020;2348;2383;144672;144637
143;2005;214994;163470;6744;6511;156726;156959
144;2005;211796;158010;5694;5473;152316;152537
145;2005;204227;163816;2365;2043;161451;161773
146;2005;241232;185247;3139;2653;182108;182594
147;2005;230957;180932;2830;2458;178102;178474
148;2005;210773;167361;2851;4302;164510;163059
149;2005;219343;171326;2127;2066;169199;169260
150;2005;215002;166389;2464;2196;163925;164193
151;2005;213340;163134;2403;2085;160731;161049
152;2005;183579;136545;2655;2645;133890;133900
153;2005;197046;145292;1924;1901;143368;143391
154;2005;202762;152886;2205;1948;150681;150938
155;2005;235291;178722;3223;3160;175499;175562
156;2005;221971;170350;3401;3408;166949;166942
157;2005;247435;189284;4193;3869;185091;185415
158;2005;250038;185596;4264;4029;181332;181567
159;2005;219769;170475;3347;3240;167128;167235
160;2005;219283;158437;1829;1856;156608;156581
161;2005;219691;169981;2734;2545;167247;167436
162;2005;230350;176042;3541;3445;172501;172597
163;2005;207889;158095;2439;2238;155656;155857
164;2005;209048;161299;3218;2925;158081;158374
165;2005;258186;198368;4182;4143;194186;194225
166;2005;237289;177857;3432;3283;174425;174574
167;2005;221730;166303;2898;2833;163405;163470
168;2005;194361;154436;4050;3834;150386;150602
169;2005;220889;173306;4899;4353;168407;168953
170;2005;188904;149474;3958;3880;145516;145594
171;2005;196524;156803;5175;4920;151628;151883
172;2005;183984;143978;2778;2620;141200;141358
173;2005;212485;160766;3638;3678;157128;157088
174;2005;225883;174567;4174;4090;170393;170477
175;2005;238580;188829;4624;7209;184205;181620
176;2005;181959;148635;2886;2596;145749;146039
177;2005;242940;191145;4468;4524;186677;186621
178;2005;220619;175769;4154;3505;171615;172264
179;2005;186409;140838;2616;2417;138222;138421
180;2005;239412;188752;4642;4456;184110;184296
181;2005;193679;161332;2967;2581;158365;158751
182;2005;183183;135863;3059;2502;132804;133361
183;2005;203726;157455;3192;2607;154263;154848
184;2005;169776;135836;3240;3007;132596;132829
185;2005;220625;170268;3953;3379;166315;166889
186;2005;229735;183416;4169;3641;179247;179775
187;2005;234100;187764;4950;4742;182814;183022
188;2005;199215;158094;2948;2869;155146;155225
189;2005;208484;158345;3123;2769;155222;155576
190;2005;206854;155366;3206;2933;152160;152433
191;2005;207463;155082;3661;3274;151421;151808
192;2005;218863;165851;3619;3425;162232;162426
