'Nachname';'Vorname';'Geburtsjahr';'Partei (trim)';'Partei-Nr';'Land (Trim)';'Land-Nr.';'Platz';'Wahlkreis - Nr.'
'Liebich';'Stefan';1972;'DIE LINKE';13;'Berlin';3;' 4 ';77
'Liebing';'Ingbert';1963;'CDU';6;'Schleswig-Holstein';15;' 7 ';2
'Liederwald';'Hans Dieter';1964;'DVU';11;'Rheinland-Pfalz';11;' 1 ';'  '
'Liedy';'Ulrike';1960;'FAMILIE';16;'Rheinland-Pfalz';11;' 5 ';'  '
'Lierse';'Lore';1955;'NPD';22;'Brandenburg';4;' 6 ';59
'Lietz';'Matthias';1953;'CDU';6;'Mecklenburg-Vorpommern';8;' 3 ';16
'Lillge';'Dr. Wolfgang';1950;'BüSo';5;'Berlin';3;' 3 ';87
'Lillge';'Ulrike';1950;'BüSo';5;'Brandenburg';4;' 1 ';'  '
'Limmer';'Kai';1978;'NPD';22;;;;237
'Lindemann';'Hendrik';1964;'FDP';17;'Bayern';2;' 58 ';250
'Lindemann';'Lars Friedrich';1971;'FDP';17;'Berlin';3;' 2 ';'  '
'Lindemann';'Thomas';1980;'NPD';22;;;;71
'Linden';'Hans';1936;'Volksabst.';1;'Nordrhein-Westfalen';10;' 4 ';'  '
'Lindholz';'Andrea';1970;'CSU';8;'Bayern';2;' 29 ';'  '
'Lindlar';'Manuel';1988;'DIE LINKE';13;'Nordrhein-Westfalen';10;' 18 ';102
'Lindlohr';'Andrea';1975;'GRÜNE';4;'Baden-Württemberg';1;' 15 ';261
'Lindner';'Christian';1979;'FDP';17;'Nordrhein-Westfalen';10;' 9 ';101
'Lindner';'Dietmar';1945;'FAMILIE';16;'Bayern';2;' 14 ';'  '
'Lindner';'Dr. Martin';1964;'FDP';17;'Berlin';3;' 1 ';77
'Lindner';'Tobias';1982;'GRÜNE';4;'Rheinland-Pfalz';11;' 6 ';212
'Lingnau';'Dr. Hildegard';1964;'GRÜNE';4;;;;198
'Link';'Dr. Manfred';1941;'RRP';27;'Bayern';2;' 3 ';253
'Link';'Heinz Werner';1957;'BP';3;;;;254
'Link';'Michael Georg';1963;'FDP';17;'Baden-Württemberg';1;' 9 ';267
'Link';'Peter Wigbert';1963;'CDU';6;'Niedersachsen';9;' 40 ';'  '
'Linke';'Dr. Marianne Monika';1945;'DIE LINKE';13;;;;15
'Linnemann';'Dr. Carsten';1977;'CDU';6;;;;138
'Linse';'Julia';1982;'CDU';6;'Rheinland-Pfalz';11;' 19 ';'  '
'Lips';'Patricia';1963;'CDU';6;'Hessen';7;' 11 ';187
'Lischka';'Burkhard';1965;'SPD';29;'Sachsen-Anhalt';14;' 2 ';70
'Lissner';'Simon';1958;'GRÜNE';4;;;;178
'Litfin';'Uwe';1958;'FWD';19;'Brandenburg';4;' 5 ';'  '
'Lobeck';'Sven';1976;'NPD';22;'Rheinland-Pfalz';11;' 4 ';200
'Lobocki';'Ingeborg Anna';1946;'DVU';11;'Schleswig-Holstein';15;' 2 ';'  '
'Loch';'Wolfgang';1964;'RRP';27;'Saarland';12;' 5 ';'  '
'Lockfisch';'Klemens';1961;'NPD';22;'Baden-Württemberg';1;' 4 ';'  '
'Loeber';'Alfred';1944;'RENTNER';28;'Nordrhein-Westfalen';10;' 5 ';'  '
'Loepelmann';'Johannes';1987;'PIRATEN';26;'Mecklenburg-Vorpommern';8;' 6 ';'  '
'Loeper';'Norbert';1953;'RRP';27;'Niedersachsen';9;' 13 ';'  '
'Löffler';'Max';1988;'GRÜNE';4;;;;94
'Löffler';'Oskar';1960;'K:Löffler';30;;;;295
'Lohfing-Blanke';'Klaus';1958;'K:Lohfing-Blanke';30;;;;190
'Lohmann';'Dorothee';1942;'MLPD';20;'Baden-Württemberg';1;' 12 ';'  '
'Lohmeier';'Roland';1945;'RRP';27;;;;225
'Lohmeyer';'Johannes Hubertus';1964;'FDP';17;;;;160
'Löhr';'Christoph';1983;'PIRATEN';26;'Rheinland-Pfalz';11;' 5 ';'  '
'Löhr';'Marlene';1985;'GRÜNE';4;'Schleswig-Holstein';15;' 9 ';'  '
'Löning';'Markus Michael Maria';1960;'FDP';17;;;;84
'Look';'Mario';1964;'ödp';23;'Berlin';3;' 2 ';'  '
'Lörch';'Bernhard Paul';1946;'ödp';23;'Baden-Württemberg';1;' 9 ';'  '
'Lörcher';'Wolfgang';1963;'DIE LINKE';13;;;;175
'Lörcks';'Rudolf';1964;'PIRATEN';26;'Nordrhein-Westfalen';10;' 5 ';'  '
'Lorent';'Stefan';1961;'DIE LINKE';13;'Baden-Württemberg';1;' 12 ';'  '
'Lorenz';'Bernd Gerhard';1970;'NPD';22;;;;240
'Lorenz';'Gertrud';1926;'CDU';6;'Baden-Württemberg';1;' 61 ';'  '
'Lorenz';'Joseph';1941;'REP';14;;;;236
'Lorenz';'Kathrin';1969;'CDU';6;'Thüringen';16;' 15 ';'  '
'Lorsbach';'Kurt-Heinz';1958;'REP';14;'Nordrhein-Westfalen';10;' 14 ';'  '
'Lösekrug-Möller';'Gabriele';1951;'SPD';29;'Niedersachsen';9;' 6 ';47
'Lotter';'Dr. Erwin Georg';1951;'FDP';17;'Bayern';2;' 12 ';253
'Lotze';'Hiltrud';1958;'SPD';29;'Niedersachsen';9;' 25 ';38
'Lötzer';'Ursula Cornelia';1950;'DIE LINKE';13;'Nordrhein-Westfalen';10;' 1 ';96
'Lötzsch';'Dr. Gesine';1961;'DIE LINKE';13;'Berlin';3;' 3 ';87
'Louis';'Klaus';1959;'NPD';22;;;;287
'Lowack';'Gert';1971;'GRÜNE';4;'Bayern';2;' 18 ';237
'Lübbe';'Lars';1986;'CDU';6;'Niedersachsen';9;' 44 ';'  '
'Lück';'Andreas';1961;'FDP';17;'Berlin';3;' 7 ';83
'Luczak';'Dr. Jan-Marco';1975;'CDU';6;'Berlin';3;' 7 ';82
'Luczak';'Jochen';1950;'GRÜNE';4;'Nordrhein-Westfalen';10;' 20 ';88
'Lüder';'Karl Heinz';1943;'K:Lüder';30;;;;17
'Ludewig';'Gottfried';1982;'CDU';6;;;;77
'Ludosan';'Felix-Anton';1969;'FAMILIE';16;'Rheinland-Pfalz';11;' 4 ';'  '
'Ludwig';'Arne';1968;'PIRATEN';26;'Niedersachsen';9;' 6 ';'  '
'Lühmann';'Kirsten';1964;'SPD';29;'Niedersachsen';9;' 8 ';45
'Lukaßen';'David';1981;'GRÜNE';4;'Bremen';5;' 4 ';'  '
'Lukner';'Oliver';1970;'FDP';17;'Baden-Württemberg';1;' 27 ';292
'Luksic';'Oliver';1979;'FDP';17;'Saarland';12;' 1 ';298
'Lurz';'Manfred';1945;'DIE LINKE';13;;;;136
'Luther';'Dr. Michael Andreas';1956;'CDU';6;'Sachsen';13;' 4 ';166
'Lütke';'Jens';1978;'NPD';22;'Schleswig-Holstein';15;' 2 ';6
'Lutz';'Hans-Jürgen';1948;'Tierschutz';21;'Hessen';7;' 5 ';'  '
'Lutz';'Janet';1970;'GRÜNE';4;;;;191
'Lutze';'Thomas';1969;'DIE LINKE';13;'Saarland';12;' 2 ';'  '
'Lux';'Benedikt';1981;'GRÜNE';4;;;;80
'Lux';'Josefa';1958;'SPD';29;'Nordrhein-Westfalen';10;' 38 ';'  '
'Lux';'Stefan';1959;'NPD';22;'Berlin';3;' 6 ';'  '
'Maag';'Karin ';1962;'CDU';6;'Baden-Württemberg';1;' 8 ';259
'Maar';'Herbert';1946;'RRP';27;'Bayern';2;' 13 ';'  '
'Maaß';'Jens';1975;'Tierschutz';21;'Berlin';3;' 6 ';'  '
'Maaß';'Simone';1967;'GRÜNE';4;;;;197
'Macamo';'Bärbel Heike';1961;'K:Macamo';30;;;;189
'MacGregor';'Wolfgang';1944;'DIE LINKE';13;;;;137
'Machleid';'Andrea';1960;'NPD';22;;;;73
'Machner';'Karin';1940;'NPD';22;;;;233
'Macholdt';'Robert';1981;'PIRATEN';26;'Hamburg';6;' 2 ';'  '
'Machon';'Dr. Christian Hermann';1974;'CSU';8;'Bayern';2;' 43 ';'  '
'Mack';'Hermann';1953;'REP';14;'Bayern';2;' 14 ';'  '
'Mackert';'Dr. Roland';1951;'K:Mackert';30;;;;266
'Mädel';'Wolfgang';1950;'SPD';29;'Schleswig-Holstein';15;' 15 ';'  '
'Mahlberg';'Thomas';1965;'CDU';6;'Nordrhein-Westfalen';10;' 36 ';116
'Mai';'Franz-Josef';1943;'ödp';23;'Thüringen';16;' 2 ';'  '
'Mai';'Susann';1967;'ödp';23;'Thüringen';16;' 7 ';'  '
'Maier';'Edeltraud';1938;'ödp';23;'Baden-Württemberg';1;' 5 ';'  '
'Maier';'Franz';1963;'BüSo';5;'Bayern';2;' 5 ';213
'Maier';'Norbert';1970;'CDU';6;'Baden-Württemberg';1;' 57 ';'  '
'Maier';'Sascha Andre';1984;'NPD';22;;;;127
'Mair';'Bejamin';1983;'BP';3;'Bayern';2;' 28 ';'  '
'Mair';'Katrin';1981;'CSU';8;'Bayern';2;' 26 ';'  '
'Maisch';'Nicole';1981;'GRÜNE';4;'Hessen';7;' 3 ';169
'Maizière de';'Dr. Karl Ernst Thomas';1954;'CDU';6;'Sachsen';13;' 1 ';156
'Majer';'Thorsten';1978;'SPD';29;'Baden-Württemberg';1;' 27 ';266
'Majewski';'Eva';1985;'CDU';6;'Berlin';3;' 11 ';'  '
'Makhloufi';'Lydia';1973;'BüSo';5;'Nordrhein-Westfalen';10;' 7 ';'  '
'Malczak';'Agnes';1985;'GRÜNE';4;'Baden-Württemberg';1;' 11 ';294
'Malecha-Nissen';'Dr. Birgit';1958;'SPD';29;'Schleswig-Holstein';15;' 9 ';6
'Malirs';'Hans-Jürgen';1945;'FWD';19;'Brandenburg';4;' 1 ';'  '
'Maller';'Anton';1957;'BP';3;'Bayern';2;' 29 ';'  '
'Mallmenn';'Roger';1976;'DIE LINKE';13;;;;201
'Malsch';'Siegfried Heinrich Eduard';1937;'RRP';27;'Bayern';2;' 18 ';'  '
'Mäncher';'Eric';1965;'SPD';29;'Rheinland-Pfalz';11;' 33 ';'  '
'Mändlen';'David';1988;'PIRATEN';26;'Bayern';2;' 12 ';'  '
'Manegold';'Prof. Bodo';1948;'CDU';6;'Berlin';3;' 14 ';'  '
'Manes';'Ulrich';1946;'REP';14;'Nordrhein-Westfalen';10;' 4 ';'  '
'Mang';'Michael';1981;'SPD';29;'Rheinland-Pfalz';11;' 22 ';'  '
'Mang';'Sylvia';1951;'DIE LINKE';13;'Bayern';2;' 15 ';255
'Mangold-Nietzschmann';'Maria-Barbara';1944;'K:Mangold-Nietzsc';30;;;;252
'Mann';'Manuel';1979;'NPD';22;;;;172
'Mantovanelli';'Marco Gérard';1965;'GRÜNE';4;'Nordrhein-Westfalen';10;' 16 ';132
'Mantseris';'Nicolas';1970;'GRÜNE';4;'Mecklenburg-Vorpommern';8;' 4 ';18
'Manz';'Josef';1932;'CDU';6;'Baden-Württemberg';1;' 63 ';'  '
'Manzewski';'Dirk';1960;'SPD';29;'Mecklenburg-Vorpommern';8;' 3 ';17
'Marcian';'Margitta';1946;'Tierschutz';21;'Hessen';7;' 1 ';180
'Markau';'André';1964;'NPD';22;;;;78
'Markert';'Hans Christian';1968;'GRÜNE';4;;;;111
'Market';'Alfred';1953;'REP';14;'Bayern';2;' 20 ';'  '
'Marklein';'Steffen';1961;'GRÜNE';4;'Mecklenburg-Vorpommern';8;' 6 ';17
'Marks';'Caren';1963;'SPD';29;'Niedersachsen';9;' 12 ';44
'Marmann';'Yvonne';1976;'CDU';6;'Rheinland-Pfalz';11;' 20 ';'  '
'Marohn';'Ralf';1967;'FDP';17;'Rheinland-Pfalz';11;' 9 ';208
'Marschall';'Rainer';1953;'NPD';22;;;;207
'Marschner';'Frank';1957;'NPD';22;'Hessen';7;' 10 ';185
'Martens';'Anke';1954;'NPD';22;'Hamburg';6;' 6 ';'  '
'Martin';'Axel';1983;'PIRATEN';26;'Niedersachsen';9;' 9 ';'  '
'Martin';'Günter';1954;'K:Martin';30;;;;92
'Martin';'Paula';1938;'PBC';24;'Bayern';2;' 10 ';'  '
'Martin';'Richard';1933;'PBC';24;'Bayern';2;' 5 ';'  '
'Martini';'Guido';1973;'RRP';27;'Saarland';12;' 4 ';'  '
'Martini';'Hans-Robert';1944;'RRP';27;'Saarland';12;' 2 ';'  '
'Marwein';'Thomas';1958;'GRÜNE';4;;;;284
'Marwitz von der';'Hans-Georg';1961;'CDU';6;'Brandenburg';4;' 5 ';60
'Marx';'Peter';1956;'NPD';22;;;;296
'Maßberg';'Reinhard Helmut Anton';1947;'BüSo';5;'Bayern';2;' 4 ';230
'Maßon';'Norbert';1957;'DIE LINKE';13;;;;273
'Mast';'Dr. Willi Alfred';1947;'MLPD';20;'Nordrhein-Westfalen';10;' 10 ';'  '
'Mast';'Katja';1971;'SPD';29;'Baden-Württemberg';1;' 13 ';279
'Matheis';'Ralf';1969;'K:Matheis';30;;;;289
'Mathiesen';'Gert';1938;'VIOLETTEN';15;'Bayern';2;' 15 ';'  '
'Matschke';'Danny';1975;'NPD';22;;;;82
'Mattfeldt';'Andreas';1969;'CDU';6;'Niedersachsen';9;' 28 ';35
'Mattheis';'Hildegard';1954;'SPD';29;'Baden-Württemberg';1;' 5 ';291
'Matthes';'Marcella';1983;'FDP';17;'Hessen';7;' 23 ';'  '
'Matthiessen';'Detlef';1954;'GRÜNE';4;'Schleswig-Holstein';15;' 6 ';4
'Matthiessen';'Günter';1947;'DIE LINKE';13;'Bremen';5;' 2 ';'  '
'Mattiat';'Dietmar Friedrich Heinz Gerd';1946;'DIE LINKE';13;;;;41
'Maturana';'Alexandre';1987;'FDP';17;'Saarland';12;' 11 ';'  '
'Matysiak';'Gerwin';1953;'SPD';29;'Niedersachsen';9;' 46 ';'  '
'Maul';'Frank Thomas';1964;'REP';14;'Nordrhein-Westfalen';10;' 6 ';'  '
'Maurer';'Ulrich';1948;'DIE LINKE';13;'Baden-Württemberg';1;' 1 ';259
'May';'Dr. Oliver Matthias Werner';1967;'FDP';17;'Sachsen';13;' 13 ';'  '
'May';'Michael Hans';1949;'MLPD';20;'Nordrhein-Westfalen';10;' 6 ';'  '
'Mayer';'Bernhard';1977;'ödp';23;'Bayern';2;' 24 ';'  '
'Mayer';'Dieter';1938;'SPD';29;'Hessen';7;' 23 ';'  '
'Mayer';'Erna';1947;'Tierschutz';21;'Hessen';7;' 6 ';'  '
'Mayer';'Johann';1960;'GRÜNE';4;;;;235
'Mayer';'Stephan Ernst Johann';1973;'CSU';8;;;;213
'Meckel';'Markus';1952;'SPD';29;'Brandenburg';4;' 9 ';58
'Meckelburg';'Wolfgang';1949;'CDU';6;'Nordrhein-Westfalen';10;' 25 ';124
'Mehldau';'Axel';1959;'PIRATEN';26;'Brandenburg';4;' 1 ';'  '
'Mehring';'Walter Heinrich Christian';1926;'RRP';27;'Niedersachsen';9;' 4 ';48
'Meichelböck';'Paul';1960;'DIE LINKE';13;;;;257
'Meier';'Agnes';1965;'FDP';17;'Bayern';2;' 19 ';243
'Meier';'Edmund';1959;'MLPD';20;'Sachsen-Anhalt';14;' 8 ';'  '
'Meier';'Rolf';1967;'DKP';10;'Berlin';3;' 3 ';84
'Meier';'Sandy';1975;'Tierschutz';21;'Berlin';3;' 2 ';'  '
'Meier';'Wolfgang';1942;'REP';14;'Baden-Württemberg';1;' 3 ';'  '
'Meierhofer';'Horst';1972;'FDP';17;'Bayern';2;' 4 ';233
'Meihsies';'Andreas';1960;'GRÜNE';4;'Niedersachsen';9;' 8 ';38
'Meinhardt';'Patrick';1966;'FDP';17;'Baden-Württemberg';1;' 7 ';272
'Meischner';'Wolfgang';1954;'ödp';23;'Bayern';2;' 26 ';234
'Meise';'Ariane Christine';1960;'NPD';22;'Nordrhein-Westfalen';10;' 14 ';98
'Meister';'Dr. Michael';1961;'CDU';6;'Hessen';7;' 7 ';188
'Meister';'Roland Matthäus';1953;'MLPD';20;'Nordrhein-Westfalen';10;' 12 ';'  '
'Meisterjahn';'Albert-Claus';1939;'RENTNER';28;'Nordrhein-Westfalen';10;' 7 ';'  '
'Meiwald';'Peter';1966;'GRÜNE';4;'Niedersachsen';9;' 12 ';28
'Meixner';'Edgar Bernhard Willibald';1964;'FDP';17;'Bayern';2;' 18 ';232
'Melber';'Thomas';1965;'REP';14;'Baden-Württemberg';1;' 19 ';'  '
'Melchers';'Wilhelm Gerhard';1964;'FDP';17;'Schleswig-Holstein';15;' 6 ';11
'Melchinger';'Thomas';1978;'PIRATEN';26;;;;260
'Melo-Plath';'Christine';1956;'ödp';23;'Bayern';2;' 25 ';'  '
'Menge';'Volker';1962;'RRP';27;'Bremen';5;' 2 ';'  '
'Mennicken-Martensen';'Karl';1943;'GRÜNE';4;;;;282
'Menssen';'Arend';1966;'FAMILIE';16;'Bayern';2;' 3 ';'  '
'Menzner';'Dorothée Luise';1965;'DIE LINKE';13;'Niedersachsen';9;' 2 ';52
'Meppen';'Lübbo';1956;'FDP';17;;;;27
'Merk';'Monika Manuela Carmen';1963;'DIE LINKE';13;;;;79
'Merkel';'Dr. Angela Dorothea';1954;'CDU';6;'Mecklenburg-Vorpommern';8;' 1 ';15
'Merkel';'Michael';1987;'K:Merkel';30;;;;187
'Merkel';'Petra';1947;'SPD';29;'Berlin';3;' 2 ';81
'Merkelbach';'Sabine';1966;'FDP';17;'Hessen';7;' 27 ';'  '
'Mertel';'Dr. Robert';1940;'K:Mertel';30;;;;221
'Merten';'Ulrike';1951;'SPD';29;'Nordrhein-Westfalen';10;' 22 ';99
'Mertens';'Joseph Andreas';1979;'NPD';22;;;;124
'Mertgen';'Bettina';1977;'CDU';6;'Hessen';7;' 32 ';'  '
'Meßmer';'Ullrich';1954;'SPD';29;'Hessen';7;' 5 ';168
'Metzner';'Heinz Dirk Karl';1957;'DIE LINKE';13;'Niedersachsen';9;' 34 ';'  '
'Meyer';'Barbara';1978;'MLPD';20;'Hessen';7;' 2 ';169
'Meyer';'Carsten';1961;'GRÜNE';4;'Thüringen';16;' 4 ';'  '
'Meyer';'Cora';1979;'NPD';22;;;;33
'Meyer';'Doris';1957;'CSU';8;'Bayern';2;' 25 ';'  '
'Meyer';'Hartmut Heinrich Johann';1956;'ödp';23;'Niedersachsen';9;' 1 ';'  '
'Meyer';'Heike';1962;'CDU';6;'Hessen';7;' 25 ';'  '
'Meyer';'Henry';1986;'BüSo';5;'Brandenburg';4;' 4 ';'  '
'Meyer';'Jens Gerd';1957;'SPD';29;'Schleswig-Holstein';15;' 19 ';'  '
'Meyer';'Jessica';1978;'CDU';6;'Bremen';5;' 5 ';'  '
'Meyer';'Laurenz';1948;'CDU';6;'Nordrhein-Westfalen';10;' 35 ';146
'Meyer';'Maria';1954;'MLPD';20;'Schleswig-Holstein';15;' 1 ';'  '
'Meyer';'Michael';1976;'NPD';22;;;;28
'Meyer';'Reinhardt Wilhelm';1953;'MLPD';20;;;;118
'Meyer';'Steffen-Werner';1970;'SPD';29;'Saarland';12;' 14 ';'  '
'Meyer';'Torsten';1956;'DVU';11;'Berlin';3;' 1 ';'  '
'Meyer';'Wolfgang';1941;'Volksabst.';1;'Nordrhein-Westfalen';10;' 7 ';'  '
'Meyer-Garbe';'Andrea Erika Gesche Elisabeth';1967;'SPD';29;'Niedersachsen';9;' 49 ';'  '
'Meyer-Giesow';'Leo';1970;'ödp';23;'Bayern';2;' 27 ';218
'Meyer-Heithius';'Joachim';1955;'DIE LINKE';13;'Niedersachsen';9;' 15 ';'  '
'Meyerding';'Bernd';1949;'ödp';23;'Hamburg';6;' 10 ';'  '
'Michaelis';'Axel';1965;'NPD';22;'Bayern';2;' 7 ';236
'Michalak';'Ursula';1952;'CDU';6;'Schleswig-Holstein';15;' 18 ';'  '
'Michalk';'Maria Ludwiga';1949;'CDU';6;'Sachsen';13;' 3 ';157
'Michel';'Dr. Marna';1966;'CDU';6;'Schleswig-Holstein';15;' 23 ';'  '
'Michel-Biegel';'Dr. Charlotte';1952;'GRÜNE';4;;;;280
'Michelbach';'Hans';1949;'CSU';8;'Bayern';2;' 17 ';238
'Michlbauer';'Matthäus';1966;'BüSo';5;'Bayern';2;' 12 ';'  '
'Middelberg';'Dr. Mathias';1964;'CDU';6;'Niedersachsen';9;' 14 ';40
'Miehling';'Andrea';1984;'BP';3;'Bayern';2;' 30 ';'  '
'Miersch';'Dr. Matthias';1968;'SPD';29;'Niedersachsen';9;' 10 ';48
'Mini';'Walter';1952;'DIE LINKE';13;'Bayern';2;' 24 ';223
'Minschke';'Wilhelm';1943;'FDP';17;;;;156
'Miosga';'Richard';1944;'NPD';22;'Berlin';3;' 9 ';'  '
'Mischau';'Evmarie-Gertrud';1958;'MLPD';20;'Bayern';2;' 12 ';'  '
'Mischuda';'Reinhard';1951;'REP';14;'Brandenburg';4;' 3 ';'  '
'Miß';'Günter';1954;'ödp';23;'Bayern';2;' 28 ';228
'Mißfelder';'Philipp';1979;'CDU';6;'Nordrhein-Westfalen';10;' 16 ';122
'Mo';'Kim-Sun';1978;'PIRATEN';26;'Rheinland-Pfalz';11;' 6 ';'  '
'Mock-Hofeditz';'Kerstin';1966;'GRÜNE';4;'Schleswig-Holstein';15;' 11 ';'  '
'Model';'Mona';1983;'FDP';17;'Hessen';7;' 35 ';'  '
'Moezer';'Doris';1948;'VIOLETTEN';15;'Bayern';2;' 7 ';'  '
'Mogg';'Ursula';1953;'SPD';29;'Rheinland-Pfalz';11;' 10 ';200
'Möhle';'Klaus-Dieter Alfred August';1952;'GRÜNE';4;'Bremen';5;' 2 ';56
'Mohme';'Hans-Jürgen Wilhelm';1940;'RRP';27;'Niedersachsen';9;' 10 ';'  '
'Mohr';'Sebastian';1982;'PIRATEN';26;'Bayern';2;' 10 ';'  '
'Mohr-Lüllmann';'Dr. Rita-Maria Marianne Margareta Luzia';1957;'CDU';6;'Bremen';5;' 3 ';55
'Möhring';'Cornelia';1960;'DIE LINKE';13;'Schleswig-Holstein';15;' 1 ';5
'Mohrmann';'Claus';1969;'FDP';17;'Brandenburg';4;' 4 ';57
'Mohs';'Christoph';1971;'BüSo';5;'Baden-Württemberg';1;' 2 ';'  '
'Mohs';'Hubertus';1939;'BüSo';5;'Baden-Württemberg';1;' 3 ';258
'Molitor';'Helga Gabriele';1962;'FDP';17;'Nordrhein-Westfalen';10;' 18 ';93
'Moll';'Dominik';1982;'SPD';29;'Saarland';12;' 18 ';'  '
'Moll';'Viola';1952;'CDU';6;'Baden-Württemberg';1;' 52 ';'  '
'Möllenstädt';'Dr. Oliver';1978;'FDP';17;'Bremen';5;' 2 ';56
'Möller';'Katrin';1967;'DIE LINKE';13;'Berlin';3;' 11 ';'  '
'Möller';'Kornelia';1961;'DIE LINKE';13;'Bayern';2;' 3 ';228
'Möller';'Michael';1962;'ZENTRUM';12;'Nordrhein-Westfalen';10;' 2 ';'  '
'Möller';'Olaf';1962;'GRÜNE';4;;;;194
'Möller';'Silke';1966;'K:Möller';30;;;;192
'Mönikes';'Jan';1970;'SPD';29;;;;265
'Monstadt';'Dietrich';1957;'CDU';6;'Mecklenburg-Vorpommern';8;' 4 ';13
'Montag';'Jerzy';1947;'GRÜNE';4;'Bayern';2;' 6 ';220
'Moritz';'Monika';1952;'SPD';29;'Saarland';12;' 27 ';'  '
'Mork';'Adrian';1967;'GRÜNE';4;;;;146
'Mörsch';'Frank';1971;'CDU';6;'Rheinland-Pfalz';11;' 21 ';'  '
'Mörtel';'Edith';1954;'VIOLETTEN';15;'Bayern';2;' 4 ';'  '
'Mortler';'Marlene';1955;'CSU';8;'Bayern';2;' 10 ';246
'Mosblech';'Volker Peter';1955;'CDU';6;'Nordrhein-Westfalen';10;' 49 ';117
'Moser';'Christian';1977;'CSU';8;'Bayern';2;' 24 ';'  '
'Moslehner';'Dr. Albrecht';1956;'FDP';17;;;;123
'Motter';'Rudolf';1951;'DVU';11;'Nordrhein-Westfalen';10;' 5 ';'  '
'Mouratidis';'Daniel';1977;'GRÜNE';4;;;;264
'Movassat';'Niema';1984;'DIE LINKE';13;'Nordrhein-Westfalen';10;' 8 ';118
'Mrosek';'Holger';1971;'GRÜNE';4;;;;114
'Mücke';'Jan';1973;'FDP';17;'Sachsen';13;' 1 ';161
'Mueller';'Klaus';1980;'PIRATEN';26;'Bayern';2;' 2 ';'  '
'Mühlbeyer';'Mark';1986;'CDU';6;'Baden-Württemberg';1;' 50 ';'  '
'Mühleck';'Dr. Otto Stephan';1953;'ödp';23;'Baden-Württemberg';1;' 3 ';'  '
'Mühler-Aumann';'Christine';1954;'PBC';24;'Baden-Württemberg';1;' 5 ';'  '
'Mühlhäuser';'Daniel';1977;'PBC';24;'Bayern';2;' 3 ';'  '
'Mühlmann-Skupien';'Jan';1968;'FDP';17;'Brandenburg';4;' 9 ';63
'Mühlstein';'Marko';1974;'SPD';29;'Sachsen-Anhalt';14;' 4 ';67
'Mulia';'Marc';1969;'DIE LINKE';13;'Nordrhein-Westfalen';10;' 12 ';116
'Müller';'Adrian';1974;'PIRATEN';26;'Schleswig-Holstein';15;' 2 ';'  '
'Müller';'Alexander';1969;'FDP';17;'Hessen';7;' 14 ';178
'Müller';'Andreas';1964;'DIE LINKE';13;'Hessen';7;' 10 ';'  '
'Müller';'Andreas';1959;'DIE LINKE';13;;;;89
'Müller';'Anja';1973;'DIE LINKE';13;'Thüringen';16;' 7 ';190
'Müller';'Bernhard';1951;'DIE LINKE';13;;;;20
'Müller';'Carsten';1970;'CDU';6;'Niedersachsen';9;' 20 ';51
'Müller';'Detlef';1964;'SPD';29;'Sachsen';13;' 9 ';163
'Müller';'Dr. Alice';1976;'CDU';6;'Hessen';7;' 22 ';'  '
'Müller';'Dr. Axel';1944;'GRÜNE';4;;;;57
'Müller';'Dr. Gerd';1955;'CSU';8;'Bayern';2;' 11 ';256
'Müller';'Dr. Josef';1954;'SPD';29;'Bayern';2;' 54 ';'  '
'Müller';'Farid';1962;'GRÜNE';4;;;;19
'Müller';'Hans';1952;'BüSo';5;'Hessen';7;' 3 ';'  '
'Müller';'Heiko';1972;'PIRATEN';26;'Rheinland-Pfalz';11;' 2 ';'  '
'Müller';'Kerstin';1963;'GRÜNE';4;'Nordrhein-Westfalen';10;' 9 ';96
'Müller';'Marcus';1972;'NPD';22;;;;155
'Müller';'Michael';1948;'SPD';29;'Nordrhein-Westfalen';10;' 20 ';107
'Müller';'Nadine';1983;'CDU';6;'Saarland';12;' 3 ';298
'Müller';'Nikolas';1947;'RENTNER';28;'Nordrhein-Westfalen';10;' 1 ';'  '
'Müller';'Petra';1960;'FDP';17;'Nordrhein-Westfalen';10;' 14 ';88
'Müller';'Roland';1941;'NPD';22;;;;293
'Müller';'Stefan';1975;'CSU';8;'Bayern';2;' 9 ';242
'Müller';'Thomas';1954;'ödp';23;'Bayern';2;' 5 ';'  '
'Müller';'Tino';1978;'NPD';22;'Mecklenburg-Vorpommern';8;' 2 ';18
'Müller';'Veit-Harald';1941;'MLPD';20;'Hessen';7;' 1 ';182
'Müller';'Vincent';1990;'GRÜNE';4;'Thüringen';16;' 5 ';195
'Müller-Gemmeke';'Beate';1960;'GRÜNE';4;'Baden-Württemberg';1;' 5 ';289
'Müller-Horn';'Esther';1968;'MLPD';20;'Nordrhein-Westfalen';10;' 18 ';'  '
'Müller-Horn';'Kai';1944;'MLPD';20;;;;107
'Müller-Kallweit';'Wolfgang';1967;'CDU';6;'Hamburg';6;' 6 ';24
'Müller-Loennies';'Renate';1944;'CDU';6;'Schleswig-Holstein';15;' 27 ';'  '
'Müller-Sönksen';'Burkhardt';1959;'FDP';17;'Hamburg';6;' 1 ';21
'Multhaupt';'Gesine';1963;'SPD';29;'Niedersachsen';9;' 21 ';28
'Münch';'Michael';1969;'DVU';11;'Hessen';7;' 1 ';'  '
