'Nachname';'Vorname';'Geburtsjahr';'Partei (trim)';'Partei-Nr';'Land (Trim)';'Land-Nr.';'Platz';'Wahlkreis - Nr.'
'Barth';'Cornelia';1958;'DIE LINKE';13;'Bremen';5;' 7 ';'  '
'Barth';'Edith';1935;'SPD';29;'Saarland';12;' 29 ';'  '
'Barth';'Steven';1988;'PIRATEN';26;'Sachsen-Anhalt';14;' 2 ';'  '
'Barth';'Volker';1962;'CDU';6;'Baden-Württemberg';1;' 30 ';'  '
'Barthel';'Klaus';1955;'SPD';29;'Bayern';2;' 5 ';224
'Barthle';'Norbert';1952;'CDU';6;;;;269
'Bartholomäus';'Uwe';1972;'DVU';11;'Hamburg';6;' 3 ';'  '
'Bartholomé';'Anna';1949;'MLPD';20;'Rheinland-Pfalz';11;' 3 ';'  '
'Bartol';'Sören';1974;'SPD';29;;;;172
'Bartsch';'Dr. Dietmar';1958;'DIE LINKE';13;'Mecklenburg-Vorpommern';8;' 1 ';13
'Bas';'Bärbel';1968;'SPD';29;'Nordrhein-Westfalen';10;' 35 ';116
'Baseler';'Lothar';1935;'NPD';22;'Hamburg';6;' 3 ';22
'Bathon';'Michael';1961;'CDU';6;'Hessen';7;' 37 ';'  '
'Bätzing';'Sabine';1975;'SPD';29;'Rheinland-Pfalz';11;' 6 ';198
'Bauch';'Annegret';1958;'CDU';6;'Hessen';7;' 39 ';'  '
'Bauch';'Matthias';1979;'BP';3;'Bayern';2;' 8 ';'  '
'Bauer';'Anneliese';1924;'Volksabst.';1;'Baden-Württemberg';1;' 8 ';'  '
'Bauer';'Emil';1953;'MLPD';20;'Bayern';2;' 4 ';252
'Bauer';'Erich';1954;'FDP';17;'Bayern';2;' 53 ';234
'Bauer';'Sebastian-Michael';1987;'PIRATEN';26;'Baden-Württemberg';1;' 3 ';'  '
'Bäuerle';'Peter';1951;'MLPD';20;'Baden-Württemberg';1;' 7 ';260
'Baum';'Andreas';1978;'PIRATEN';26;'Berlin';3;' 3 ';'  '
'Baum';'Erika';1925;'DKP';10;'Berlin';3;' 4 ';'  '
'Baumann';'Helmut Günter';1947;'CDU';6;;;;165
'Baumgartner';'Alfons';1944;'BP';3;'Bayern';2;' 9 ';'  '
'Baumgartner';'Roman';1982;'CDU';6;'Baden-Württemberg';1;' 21 ';'  '
'Baumgärtner';'Dr. Albert';1955;'NPD';22;;;;279
'Bäumler';'Werner';1952;'DIE LINKE';13;;;;226
'Baur';'Jens';1979;'NPD';22;;;;161
'Bayrak';'Yusuf';1963;'K:Bayrak';30;;;;83
'Bechert';'Dr. Arthur';1964;'CSU';8;'Bayern';2;' 55 ';'  '
'Beciri';'Birgit';1962;'Tierschutz';21;'Hessen';7;' 8 ';'  '
'Beck';'Ernst-Reinhard';1945;'CDU';6;;;;289
'Beck';'Jürgen';1955;'K:Beck';30;;;;86
'Beck';'Marieluise';1952;'GRÜNE';4;'Bremen';5;' 1 ';55
'Beck';'Stefanie';1970;'DIE LINKE';13;'Rheinland-Pfalz';11;' 5 ';209
'Beck';'Tobias';1985;'FDP';17;'Rheinland-Pfalz';11;' 16 ';'  '
'Beck';'Volker';1960;'GRÜNE';4;'Nordrhein-Westfalen';10;' 2 ';95
'Beck geb. Krauß';'Claudia';1973;'GRÜNE';4;;;;297
'Becker';'Alexander';1982;'CDU';6;'Rheinland-Pfalz';11;' 39 ';'  '
'Becker';'Bernd';1958;'SPD';29;'Rheinland-Pfalz';11;' 31 ';'  '
'Becker';'Burkhard';1954;'NPD';22;;;;137
'Becker';'Dirk';1966;'SPD';29;'Nordrhein-Westfalen';10;' 33 ';136
'Becker';'Kurt';1953;'SPD';29;'Rheinland-Pfalz';11;' 28 ';'  '
'Becker-Lettow';'Christa Lydia';1959;'SPD';29;'Nordrhein-Westfalen';10;' 66 ';'  '
'Beckmann';'Bert';1958;'MLPD';20;'Mecklenburg-Vorpommern';8;' 4 ';'  '
'Beckmeyer';'Uwe Karl';1949;'SPD';29;'Bremen';5;' 1 ';56
'Beekhuis';'Jochen Heiner';1977;'SPD';29;'Niedersachsen';9;' 42 ';'  '
'Beer';'Maximilian';1966;'CSU';8;'Bayern';2;' 54 ';'  '
'Beetz';'Kirsten';1961;'CDU';6;'Rheinland-Pfalz';11;' 36 ';'  '
'Befeldt';'Peter';1955;'SPD';29;'Niedersachsen';9;' 32 ';'  '
'Behlen';'Jörg';1968;'FDP';17;'Hessen';7;' 17 ';172
'Behm';'Cornelia';1951;'GRÜNE';4;'Brandenburg';4;' 1 ';62
'Behnke';'Martin';1954;'DIE LINKE';13;;;;106
'Behrens';'Hans-Peter';1961;'GRÜNE';4;;;;273
'Behrens';'Heidemarie Elisabeth';1954;'DIE LINKE';13;'Bremen';5;' 5 ';'  '
'Behrens';'Herbert';1954;'DIE LINKE';13;'Niedersachsen';9;' 6 ';35
'Behrens';'Manfred';1956;'CDU';6;'Sachsen-Anhalt';14;' 8 ';68
'Behrens';'Matthias';1972;'NPD';22;'Niedersachsen';9;' 2 ';36
'Beier';'Andreas';1971;'K:Beier';30;;;;291
'Beier';'Dr. Guido';1967;'FDP';17;'Brandenburg';4;' 3 ';60
'Beier';'Klaus';1966;'NPD';22;'Brandenburg';4;' 1 ';64
'Beier';'Mirko';1975;'NPD';22;'Sachsen';13;' 6 ';152
'Bellmann';'Veronika Maria';1960;'CDU';6;'Sachsen';13;' 7 ';162
'Belzner';'Michael';1948;'REP';14;'Baden-Württemberg';1;' 8 ';'  '
'Bender';'Birgitt';1956;'GRÜNE';4;'Baden-Württemberg';1;' 7 ';259
'Bender';'Mario';1966;'DIE LINKE';13;'Saarland';12;' 4 ';'  '
'Bendigkeit';'Anneliese';1943;'CDU';6;'Baden-Württemberg';1;' 26 ';'  '
'Benedetto Di';'Edgar';1958;'DIE LINKE';13;'Niedersachsen';9;' 32 ';29
'Benneter';'Klaus Uwe';1947;'SPD';29;'Berlin';3;' 5 ';80
'Bensmann';'Felix';1985;'FDP';17;'Niedersachsen';9;' 28 ';'  '
'Bentz';'Konrad';1920;'NPD';22;;;;170
'Benz';'Josef';1953;'FDP';17;'Baden-Württemberg';1;' 28 ';273
'Benz';'Karl Hans August';1938;'RRP';27;'Bayern';2;' 9 ';'  '
'Benz';'Markus';1955;'VIOLETTEN';15;'Baden-Württemberg';1;' 1 ';281
'Berberich';'Patrick';1979;'CDU';6;'Rheinland-Pfalz';11;' 29 ';'  '
'Berbig';'Miro';1964;'DIE LINKE';13;;;;8
'Berg';'Dr. Axel';1959;'SPD';29;'Bayern';2;' 17 ';218
'Berg';'Ute';1953;'SPD';29;'Nordrhein-Westfalen';10;' 17 ';138
'Bergen';'Lars';1975;'CSU';8;'Bayern';2;' 63 ';'  '
'Berger';'Cornelia';1956;'NPD';22;;;;76
'Berger';'Dr. Dr. Wolfgang Georg Justus';1941;'K:Berger';30;;;;212
'Berger';'Frank';1976;'FDP';17;'Bayern';2;' 52 ';255
'Berger';'Milan';1978;'PIRATEN';26;;;;245
'Bergler';'Volker';1968;'BP';3;'Bayern';2;' 13 ';'  '
'Bergmoser';'Jutta';1961;'GRÜNE';4;'Nordrhein-Westfalen';10;' 27 ';128
'Bergner';'Dr. Christoph';1948;'CDU';6;'Sachsen-Anhalt';14;' 1 ';73
'Berisha';'Christian';1967;'NPD';22;;;;38
'Berlinghof';'Jutta';1961;'GRÜNE';4;'Bayern';2;' 19 ';246
'Bernd';'Christopher';1986;'PBC';24;'Rheinland-Pfalz';11;' 6 ';'  '
'Berndt';'Wolfgang Herbert Josef';1949;'DIE LINKE';13;;;;232
'Bernhard';'Marc';1972;'CDU';6;'Baden-Württemberg';1;' 9 ';'  '
'Bernmeiser';'Martin';1952;'VIOLETTEN';15;'Bayern';2;' 16 ';'  '
'Berns';'Wolfgang';1948;'FDP';17;'Hessen';7;' 10 ';173
'Bernschneider';'Florian';1986;'FDP';17;'Niedersachsen';9;' 7 ';51
