Wahlkreis;Partei;Erststimmen;Zweitstimmen;Jahr
22;13;5602;7951;2005
22;13;10805;13429;2009
22;17;6003;18089;2005
22;17;12766;25269;2009
22;20;;46;2005
22;20;;46;2009
22;21;;945;2005
22;22;1053;979;2005
22;22;1010;794;2009
22;23;;411;2009
22;26;;3289;2009
22;28;;876;2009
22;29;72148;58596;2005
22;29;53469;40909;2009
22;33;;161;2005
22;35;;271;2005
22;99;;432;2005
23;4;8237;18519;2005
23;4;13914;17518;2009
23;6;57577;49305;2005
23;6;53958;44770;2009
23;11;;261;2009
23;13;7542;9827;2005
23;13;14021;16205;2009
23;17;5648;14572;2005
23;17;11408;20181;2009
23;20;;53;2005
23;20;;50;2009
23;21;;1350;2005
23;22;2256;2171;2005
23;22;1972;1674;2009
23;23;1190;527;2009
23;26;;3158;2009
23;28;;1314;2009
23;29;79926;65105;2005
23;29;51460;42705;2009
23;33;;156;2005
23;35;;285;2005
23;99;;441;2005
24;4;7330;16776;2005
24;4;11728;16484;2009
24;5;500;;2009
24;6;53810;48559;2005
24;6;46303;41423;2009
24;11;;280;2009
24;13;7632;9827;2005
24;13;14430;16358;2009
24;17;5105;12100;2005
24;17;10727;16709;2009
24;20;;85;2005
24;20;;63;2009
24;21;;1240;2005
24;22;2352;2251;2005
24;22;2111;1795;2009
24;23;;402;2009
24;24;460;;2005
24;26;;3543;2009
24;28;;1517;2009
24;29;79967;65184;2005
24;29;54965;42554;2009
24;33;;187;2005
24;35;;399;2005
24;99;;586;2005
25;4;8748;8868;2005
25;4;14451;13641;2009
25;5;;62;2005
25;6;38467;35368;2005
25;6;33706;32155;2009
25;11;;123;2009
25;13;5516;6357;2005
25;13;13213;14978;2009
25;17;4441;8800;2005
25;17;9314;13619;2009
25;20;;80;2005
25;20;;32;2009
25;21;;815;2005
25;21;;1042;2009
25;22;1660;1606;2005
25;22;1886;1712;2009
25;23;;123;2009
25;24;;270;2005
25;26;;2015;2009
25;27;;642;2009
25;29;82618;79448;2005
25;29;57876;50682;2009
25;30;;405;2005
25;36;;147;2005
25;99;360;552;2005
26;4;6246;7242;2005
26;4;11981;12222;2009
26;5;;59;2005
26;6;82559;71136;2005
26;6;73405;63545;2009
26;11;;152;2009
26;13;5742;7137;2005
26;13;12062;14219;2009
26;17;8246;13634;2005
26;17;15470;20731;2009
26;20;;33;2005
26;20;;28;2009
26;21;;893;2005
26;21;;1149;2009
26;22;1920;1915;2005
26;22;1862;1707;2009
26;23;;304;2009
26;24;979;724;2005
26;26;;2899;2009
26;27;;648;2009
26;29;69621;72167;2005
26;29;47481;44913;2009
26;30;;376;2005
26;36;;115;2005
26;99;;491;2005
27;4;5480;8409;2005
27;4;9794;12009;2009
27;5;;92;2005
27;6;48472;43900;2005
27;6;42211;38728;2009
27;11;;106;2009
27;13;6004;6962;2005
27;13;12055;13572;2009
27;17;7187;12846;2005
27;17;12283;19204;2009
27;20;;163;2005
27;20;;85;2009
27;21;;1052;2005
27;21;;1277;2009
27;22;2413;2146;2005
27;22;1911;1570;2009
27;23;;112;2009
27;24;;160;2005
27;26;;2452;2009
27;27;;1071;2009
27;29;72454;67133;2005
27;29;51851;40610;2009
27;30;;977;2005
27;36;;142;2005
27;99;1623;1119;2005
28;4;16369;18185;2005
28;4;21651;24171;2009
28;5;;62;2005
28;6;58364;46510;2005
28;6;55610;44090;2009
28;11;;124;2009
28;13;7963;8583;2005
28;13;14080;15244;2009
28;17;6341;15308;2005
28;17;13840;22917;2009
28;20;;81;2005
28;20;;53;2009
28;21;;915;2005
28;21;;1349;2009
28;22;1595;1592;2005
28;22;1548;1345;2009
28;23;;192;2009
28;24;;186;2005
28;26;;4000;2009
28;27;707;821;2009
28;29;73355;72316;2005
28;29;49020;42551;2009
28;30;;487;2005
28;36;;140;2005
28;99;;627;2005
29;4;8209;12405;2005
29;4;14446;16731;2009
29;5;;74;2005
29;6;59327;49561;2005
29;6;56273;49810;2009
29;11;;171;2009
29;13;6856;8398;2005
29;13;13751;15906;2009
29;17;8741;17836;2005
29;17;16163;23109;2009
29;20;;74;2005
29;20;;49;2009
29;21;;1099;2005
29;21;;1519;2009
29;22;2123;2142;2005
29;22;2346;2009;2009
29;23;;179;2009
29;24;;206;2005
29;26;;2879;2009
29;27;1261;1506;2009
29;29;86321;79652;2005
29;29;55374;45895;2009
29;30;;795;2005
29;36;;166;2005
29;99;861;961;2005
30;4;4962;8966;2005
30;4;8379;11885;2009
30;5;;76;2005
30;6;57968;50370;2005
30;6;51654;46707;2009
30;11;;225;2009
30;13;4078;6447;2005
30;13;10307;11920;2009
30;17;5438;12349;2005
30;17;10426;17146;2009
30;20;;45;2005
30;20;;28;2009
30;21;;986;2005
30;21;;1072;2009
30;22;2372;2011;2005
30;22;1828;1567;2009
30;23;;173;2009
30;24;;173;2005
30;26;;1938;2009
30;27;;945;2009
30;29;71891;64724;2005
30;29;50481;40643;2009
30;30;;816;2005
30;36;;142;2005
30;99;;764;2005
30;99;847;;2009
31;4;5918;10658;2005
31;4;9409;14253;2009
31;5;;80;2005
31;5;307;;2009
31;6;64002;54446;2005
31;6;62035;51303;2009
31;11;;140;2009
31;13;1551;5701;2005
31;13;9096;10541;2009
31;17;6488;14467;2005
31;17;9946;20056;2009
31;20;;45;2005
31;20;;43;2009
31;21;;842;2005
31;21;;999;2009
31;22;2692;2139;2005
31;22;2349;2061;2009
31;23;;170;2009
31;24;;226;2005
31;26;;2503;2009
31;27;;837;2009
31;29;67942;59776;2005
31;29;46851;37784;2009
31;30;;590;2005
31;36;;125;2005
31;99;;707;2005
31;99;431;;2009
32;4;5848;8212;2005
32;4;9819;11357;2009
32;5;;58;2005
32;6;98882;86520;2005
32;6;91378;79052;2009
32;11;;78;2009
32;13;4315;4897;2005
32;13;8195;9169;2009
32;17;6167;15042;2005
32;17;13278;23749;2009
32;20;;30;2005
32;20;;24;2009
32;21;;761;2005
32;21;;853;2009
32;22;1287;1237;2005
32;22;1130;1014;2009
32;23;;158;2009
32;24;;185;2005
32;26;;2347;2009
32;27;;642;2009
32;29;61236;60408;2005
32;29;43503;39085;2009
32;30;;319;2005
32;36;;121;2005
32;99;;440;2005
33;4;3723;5227;2005
33;4;6575;7827;2009
33;5;;50;2005
33;6;101777;90513;2005
33;6;91686;80355;2009
33;11;;85;2009
33;13;3018;3602;2005
33;13;6927;7518;2009
33;17;6177;16071;2005
33;17;12700;23001;2009
33;20;;35;2005
33;20;;35;2009
33;21;;613;2005
33;21;;766;2009
33;22;1248;1219;2005
33;22;1286;1132;2009
33;23;;108;2009
33;24;;507;2005
33;26;;1953;2009
33;27;;372;2009
33;29;41988;40084;2005
33;29;28053;24358;2009
33;30;;304;2005
33;36;;104;2005
33;99;;408;2005
34;4;8329;11070;2005
34;4;11917;13999;2009
34;5;;75;2005
